"","0","1","2","3","4","5"
"Sensitivity",0.696850393700787,0,0.125925925925926,0.610795454545455,0.294117647058824,0.966195977749251
"Specificity",0.988997918525126,0.998935320734629,0.997858672376874,0.990622335890878,0.990133488102147,0.48761408083442
"Pos Pred Value",0.90537084398977,0,0.679999999999998,0.866935483870968,0.786163522012579,0.741787122207622
"Neg Pred Value",0.955747126436782,0.970519782777347,0.96931877275091,0.962186033673751,0.919181034482759,0.90447400241838
"Precision",0.90537084398977,0,0.68,0.866935483870968,0.786163522012579,0.741787122207622
"Recall",0.696850393700787,0,0.125925925925926,0.610795454545455,0.294117647058824,0.966195977749251
"F1",0.787541713014461,NA,0.2125,0.716666666666667,0.428082191780822,0.839249210183981
"Prevalence",0.131232239731336,0.0294497545853785,0.0348747093774219,0.0909325755618703,0.109790751743735,0.603719969000258
"Detection Rate",0.0914492379230173,0,0.00439163006974942,0.0555412038233015,0.0322913975716869,0.583311805734952
"Detection Prevalence",0.101007491604237,0.00103332472229398,0.00645827951433738,0.0640661327822268,0.0410746577111857,0.786360113665719
"Balanced Accuracy",0.842924156112957,0.499467660367314,0.5618922991514,0.800708895218166,0.642125567580485,0.726905029291836
